time,species,confidence,method
2026-03-15 13:10:56.509014,Rook,0.784,audio
2026-03-15 13:11:27.093758,GREY CUCKOOSHRIKE,0.308,image
2026-03-15 13:20:53.269594,Red-tailed Hawk,0.096,audio
2026-03-15 13:21:09.880830,Red-tailed Hawk,0.096,audio
2026-03-15 13:21:51.078554,IMPERIAL SHAQ,0.521,image
2026-03-15 13:44:46.404714,EURASIAN MAGPIE,0.999,image
2026-03-15 13:45:13.506104,Rook,0.784,audio
2026-03-15 13:46:10.752279,EURASIAN MAGPIE,0.999,image
